Squad,Comp,# Pl,Age,Poss,MP,Starts,Team Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,TeamTouches90,Opp Touches
Fulham,eng Premier League,29,28.2,48.8,38,418,3420,38.0,52,33,85,47,5,9,80,1,46.2,39.1,28.5,67.7,662,1326,1.37,0.87,2.24,1.24,2.11,1.22,0.75,583.1578947368421,23238
Getafe,es La Liga,25,27.4,39.9,38,418,3420,38.0,34,21,55,29,5,8,125,9,36.7,30.4,22.5,53.0,365,1003,0.89,0.55,1.45,0.76,1.32,0.96,0.59,472.2894736842105,25413
Girona,es La Liga,29,26.0,51.3,38,418,3420,38.0,55,41,96,47,8,9,92,3,50.4,43.6,37.2,80.8,725,1378,1.45,1.08,2.53,1.24,2.32,1.33,0.98,589.3947368421053,21778
Hellas Verona,it Serie A,36,26.6,41.2,38,418,3420,38.0,29,22,51,28,1,1,103,3,35.8,35.1,28.1,63.2,503,1063,0.76,0.58,1.34,0.74,1.32,0.94,0.74,475.1578947368421,24226
Hertha BSC,de Bundesliga,32,26.0,42.0,34,374,3060,34.0,42,23,65,35,7,7,82,1,39.4,33.9,25.3,59.2,413,914,1.24,0.68,1.91,1.03,1.71,1.16,0.74,500.6764705882353,21919
Hoffenheim,de Bundesliga,31,26.8,48.3,34,374,3060,34.0,46,30,76,39,7,9,80,5,48.0,41.1,32.4,73.4,457,1175,1.35,0.88,2.24,1.15,2.03,1.41,0.95,571.5882352941177,20608
Inter,it Serie A,25,28.8,55.7,38,418,3420,38.0,68,50,118,64,4,5,65,3,68.0,64.5,51.8,116.3,668,1624,1.79,1.32,3.11,1.68,3.0,1.79,1.36,661.2631578947369,21038
Juventus,it Serie A,29,27.7,49.6,38,418,3420,38.0,56,41,97,53,3,6,74,6,55.3,50.4,39.8,90.2,673,1394,1.47,1.08,2.55,1.39,2.47,1.45,1.05,600.2631578947369,23194
Köln,de Bundesliga,27,26.0,49.9,34,374,3060,34.0,46,31,77,42,4,4,75,3,47.9,44.7,35.1,79.9,522,1247,1.35,0.91,2.26,1.24,2.15,1.41,1.03,597.6470588235294,20809
Lazio,it Serie A,24,28.6,52.1,38,418,3420,38.0,59,37,96,53,6,8,86,2,51.1,44.9,34.3,79.2,683,1381,1.55,0.97,2.53,1.39,2.37,1.35,0.9,669.8157894736842,23748
Lecce,it Serie A,29,24.8,41.3,38,418,3420,38.0,31,21,52,27,4,6,86,2,36.1,31.4,25.3,56.7,515,1232,0.82,0.55,1.37,0.71,1.26,0.95,0.66,495.7631578947368,24775
Leeds United,eng Premier League,29,25.3,47.0,38,418,3420,38.0,45,31,76,44,1,3,89,3,47.4,45.0,31.9,76.9,555,1429,1.18,0.82,2.0,1.16,1.97,1.25,0.84,569.5263157894736,24304
Leicester City,eng Premier League,28,26.1,47.7,38,418,3420,38.0,49,36,85,46,3,6,63,2,50.6,45.8,38.5,84.2,580,1304,1.29,0.95,2.24,1.21,2.16,1.33,1.01,608.5526315789474,24725
Lens,fr Ligue 1,29,26.4,55.6,38,418,3420,38.0,66,49,115,60,6,9,63,3,66.9,60.0,47.6,107.6,738,1829,1.74,1.29,3.03,1.58,2.87,1.76,1.25,656.1842105263158,20842
Leverkusen,de Bundesliga,27,24.7,52.0,34,374,3060,34.0,57,44,101,52,5,7,75,7,51.4,46.0,38.9,85.0,678,1243,1.68,1.29,2.97,1.53,2.82,1.51,1.15,643.4411764705883,20578
Lille,fr Ligue 1,26,26.0,60.5,38,418,3420,38.0,65,40,105,54,11,12,82,1,68.7,60.0,46.4,106.5,798,1982,1.71,1.05,2.76,1.42,2.47,1.81,1.22,704.3947368421053,19095
Liverpool,eng Premier League,28,27.4,60.8,38,418,3420,38.0,71,58,129,69,2,4,57,1,72.6,69.5,56.7,126.1,719,1992,1.87,1.53,3.39,1.82,3.34,1.91,1.49,747.3421052631579,20607
Lorient,fr Ligue 1,30,25.2,46.6,38,418,3420,38.0,49,32,81,45,4,6,48,4,44.5,39.8,29.4,69.2,753,1329,1.29,0.84,2.13,1.18,2.03,1.17,0.77,594.8684210526316,24862
Lyon,fr Ligue 1,29,25.5,58.1,38,418,3420,38.0,63,45,108,57,6,8,61,3,61.1,54.8,45.1,99.9,709,1883,1.66,1.18,2.84,1.5,2.68,1.61,1.19,711.7894736842105,21204
M'Gladbach,de Bundesliga,27,26.8,53.7,34,374,3060,34.0,52,39,91,48,4,6,62,3,52.1,47.5,41.2,88.7,518,1168,1.53,1.15,2.68,1.41,2.56,1.53,1.21,664.2058823529412,19733
Mainz 05,de Bundesliga,27,27.0,44.8,34,374,3060,34.0,54,35,89,50,4,6,69,1,47.1,42.4,30.0,72.4,364,1155,1.59,1.03,2.62,1.47,2.5,1.39,0.88,543.2647058823529,22189
Mallorca,es La Liga,31,27.7,41.1,38,418,3420,38.0,36,27,63,32,4,5,120,5,35.2,31.1,26.5,57.7,476,948,0.95,0.71,1.66,0.84,1.55,0.93,0.7,478.1842105263158,24505
Manchester City,eng Premier League,24,27.2,64.7,38,418,3420,38.0,92,69,161,83,9,10,44,1,78.7,71.1,57.6,128.7,987,2073,2.42,1.82,4.24,2.18,4.0,2.07,1.52,786.7105263157895,18167
Manchester Utd,eng Premier League,26,26.9,53.7,38,418,3420,38.0,56,42,98,53,3,3,78,2,67.7,65.3,52.2,117.5,711,1595,1.47,1.11,2.58,1.39,2.5,1.78,1.37,653.8947368421053,21994
Marseille,fr Ligue 1,30,27.3,56.7,38,418,3420,38.0,61,38,99,55,6,7,63,4,65.3,60.0,47.0,107.0,759,1919,1.61,1.0,2.61,1.45,2.45,1.72,1.24,653.6578947368421,20200
Milan,it Serie A,30,26.0,55.6,38,418,3420,38.0,61,49,110,56,5,5,90,2,58.8,55.1,46.0,101.1,795,1584,1.61,1.29,2.89,1.47,2.76,1.55,1.21,627.7894736842105,20064
Monaco,fr Ligue 1,27,24.7,48.2,38,418,3420,38.0,69,47,116,64,5,8,64,5,62.1,55.7,42.2,97.9,719,1820,1.82,1.24,3.05,1.68,2.92,1.63,1.11,589.421052631579,24161
